File,Qualified Name,Function,Line,Kind,Scope,R12 Domain,Research Refs,Best Practice Baseline,R12 Strict Grade,R12 Remediation,Wiring Status,R12 Findings
scripts/phase_l_triple_judge.py,Verdict.to_dict,to_dict,109,method,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,_utc_now,_utc_now,117,function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,_safe_read_json,_safe_read_json,121,function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,_list_renders,_list_renders,130,function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,parse_verdict_json,parse_verdict_json,136,function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,parse_verdict_json._as_list,_as_list,202,nested_function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,build_prompt,build_prompt,236,function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,opus_judge,opus_judge,266,function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,codex_judge,codex_judge,289,function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/phase_l_triple_judge.py,gemini_judge,gemini_judge,335,function,script,generic,UE_PCG|FASTNOISELITE,"Prove runtime relevance, deterministic behavior, direct tests, caller wiring, typed contracts, and no dead/orphan code before claiming generator quality.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
