File,Callable,SimpleName,Line,Kind,Grade,GradeMatchStatus,GradeMatchMode,DomainTags,IsToolOrBlenderCallable,WiringStatus,RuntimeExposure,NonTestCallCount,EvidenceTypes,EvidenceScore,EvidenceFiles,RiskLevel,FalseGradeFlag,RequiredNextEvidence
_biome_grammar.py,_rng_from_seed,_rng_from_seed,46,function,B+,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,helper_reachable,none,42,direct_test;module_test;live_probe,10,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_composition.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,
_biome_grammar.py,resolve_biome_name,resolve_biome_name,56,function,C,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,helper_reachable,none,1,direct_test;module_test;live_probe,9,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,
_biome_grammar.py,generate_world_map_spec,generate_world_map_spec,190,function,A-,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,helper_reachable,none,2,direct_test;module_test;live_probe,10,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,
_biome_grammar.py,_generate_corruption_map,_generate_corruption_map,355,function,B,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,helper_reachable,none,1,module_test;live_probe,5,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,direct_behavior_test
_biome_grammar.py,_box_filter_2d,_box_filter_2d,457,function,A,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,helper_reachable,none,2,module_test;live_probe,6,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,direct_behavior_test
_biome_grammar.py,_distance_from_mask,_distance_from_mask,540,function,A,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,helper_reachable,none,1,module_test;live_probe,6,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,direct_behavior_test
_biome_grammar.py,apply_periglacial_patterns,apply_periglacial_patterns,625,function,A,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,helper_reachable,none,0,direct_test;module_test;live_probe,10,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,
_biome_grammar.py,apply_desert_pavement,apply_desert_pavement,751,function,A,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,helper_reachable,none,0,direct_test;module_test;live_probe,10,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,
_biome_grammar.py,compute_spring_line_mask,compute_spring_line_mask,907,function,B+,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,direct_test_covered,none,0,direct_test;module_test;live_probe,10,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,production_caller_or_scope_exemption
_biome_grammar.py,apply_landslide_scars,apply_landslide_scars,1041,function,A,GRADED,file_qualified,blender_tool;geometry_mesh;scatter_ecology;pipeline_wiring,True,direct_test_covered,none,0,direct_test;module_test;live_probe,10,veilbreakers_terrain/tests/test_b15_p0_02_biome_canonical_invariant.py;veilbreakers_terrain/tests/test_biome_grammar.py;veilbreakers_terrain/tests/test_callable_orphan_contracts.py;veilbreakers_terrain/tests/test_terrain_features_phase14.py,LOW,False,production_caller_or_scope_exemption
