File,Qualified Name,Function,Line,Kind,Scope,R11 Domain,Research Refs,R11 Required AAA Evidence,R11 Grade,R11 B-Floor Grade,R11 Remediation Category,R11 Confidence,R11 Findings
scripts/audit_test_guardrails.py,TestGuardrailVisitor,TestGuardrailVisitor,24,class,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate. Structural support callable: live quality is proven through its parent runtime surface, not as an independent terrain feature."
scripts/audit_test_guardrails.py,TestGuardrailVisitor.__init__,__init__,25,method,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate. Structural support callable: live quality is proven through its parent runtime surface, not as an independent terrain feature."
scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_FunctionDef,visit_FunctionDef,38,method,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate. Structural support callable: live quality is proven through its parent runtime surface, not as an independent terrain feature."
scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_AsyncFunctionDef,visit_AsyncFunctionDef,45,method,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate. Structural support callable: live quality is proven through its parent runtime surface, not as an independent terrain feature."
scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_Name,visit_Name,52,method,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate. Structural support callable: live quality is proven through its parent runtime surface, not as an independent terrain feature."
scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_Call,visit_Call,63,method,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate. Structural support callable: live quality is proven through its parent runtime surface, not as an independent terrain feature."
scripts/audit_test_guardrails.py,read_text,read_text,87,function,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate."
scripts/audit_test_guardrails.py,classify_tags,classify_tags,91,function,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate."
scripts/audit_test_guardrails.py,top_rows,top_rows,113,function,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate."
scripts/audit_test_guardrails.py,main,main,117,function,script,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B,B,MEETS_B_FLOOR,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Script callable: useful tooling, but not runtime terrain quality unless wired into a required gate."
