file,line,kind,callable,simple_name,grade_match_status,match_mode,current_grade,r9_consensus,final_grade,aaa_equivalent,weakness,upgrade
__init__.py,18,function,register_all,register_all,GRADED,file_qualified,A-,A-|2026-04-22: verified wrapper -> lazy terrain registrar bridge with strict flag passthrough and stable registration-report return,A-,,,
__init__.py,42,function,_build_command_handlers,_build_command_handlers,GRADED,file_qualified,A-,"A-|2026-04-22: verified dispatch builder -> deferred imports, warning-on-failure registration, broad command-table exposure covered by dispatch tests",A-,,,
_biome_grammar.py,46,function,resolve_biome_name,resolve_biome_name,GRADED,file_qualified,C,,A-,,,
_biome_grammar.py,130,function,generate_world_map_spec,generate_world_map_spec,GRADED,file_qualified,A-,,A-,UE5 PCG World Partition biome graph / Witcher 3 region splitter,Voronoi is fixed-weight — no biome-count rebalancing based on temperature/moisture gradients; flatten zones are circular only.,Climate-driven Voronoi weighting; rectangular flatten zones for linear building footprints.
_biome_grammar.py,288,function,_generate_corruption_map,_generate_corruption_map,GRADED,file_qualified,B,,B,,,
_biome_grammar.py,390,function,_box_filter_2d,_box_filter_2d,GRADED,file_qualified,A-,A-|2026-04-19: upgraded D -> mode kwarg reflect/wrap/constant scipy fast path SAT fallback pre-padded no Python inner loop,B+,No direct AAA analog — core terrain utility primitive,"Still a narrow helper rather than a full terrain feature; pure-NumPy fallback is box blur only, not a richer filtering toolkit.",No urgent algorithmic rewrite needed; only keep parity tests and benchmark coverage.
_biome_grammar.py,473,function,_distance_from_mask,_distance_from_mask,GRADED,file_qualified,A-,A-|2026-04-19: upgraded D -> matches terrain_wildlife_zones signature cell_size param EDT fast path chamfer fallback,B+,No direct AAA analog — core terrain distance primitive,Fallback path is still an approximate chamfer scan with Python loops; if SciPy disappeared project-wide this would drop below the fast-path quality bar.,No urgent rewrite; keep parity tests and prefer SciPy in production environments.
_biome_grammar.py,558,function,apply_periglacial_patterns,apply_periglacial_patterns,GRADED,file_qualified,A-,A-|2026-04-20: upgraded C+ -> fixed displacement formula: depressed centres (raised boundary ridge - interior depth); ice-wedge polygon geometry; raised stone rims + thaw-lake depressions,A-,Gaea frost-heave micro-relief,Python loop over n_centers for distance (O(N*H*W)) — scales poorly; uses np.random.RandomState (legacy); no orientation (real stone stripes align with slope).; R5: Voronoi via Python loop over centers (line 375-377) — for 100 centers on 1024² grid that's 100 × 1M numpy ops = ~1.5s. `scipy.spatial.cKDTree.query` would do this in ~50ms.,Use KDTree or broadcast to single numpy op; add slope-aligned striping.
_biome_grammar.py,684,function,apply_desert_pavement,apply_desert_pavement,GRADED,file_qualified,A-,A-|2026-04-19: upgraded B -> jittered-grid Voronoi KDTree d1/d2 edge_t cross-section stone_density+moat_width no Python inner loop,B,Gaea Desert/Arid node,"Still simplified: low-area/slope heuristic only; no richer desert armoring logic, clast sorting, or multi-material sediment behavior.",Add richer desert-material classification if visual targets demand it; no urgent perf rewrite remains.
_biome_grammar.py,839,function,compute_spring_line_mask,compute_spring_line_mask,GRADED,file_qualified,B+,,B+,Hydrological seepage analysis (Houdini/Arcgis),"Layer boundaries placed by elevation quantization — real geology uses stratigraphic dip, not level contours. Narrow bands (exp/0.001) can miss entirely at some resolutions.",Use actual stratigraphy (from terrain_stratigraphy) rather than quantized elevation.
_biome_grammar.py,941,function,apply_landslide_scars,apply_landslide_scars,GRADED,file_qualified,A-,A-|2026-04-20: upgraded B+ -> lateral ridge shoulders (levees) at ±0.9×crown_width; raised ridges flanking failure plane; curved headscarp with squared falloff; geomorphologically correct scar geometry,A-,Gaea Slump / Skyrim landslide scars,"Scar mask is concentric circle (uphill vs downhill not asymmetric); deposit placement uses gradient at origin only — doesn't flow along actual descent path.; R5: uses `oy, ox = divmod(idx, w)` for origin and then computes fan at `(oy + dy_dir * scar_r * runout_factor, ox + dx_dir * scar_r * runout_factor)` — but variables are mismatched: `fan_cx = oy + dy_dir…",Trace downslope path and distribute deposits along travel line; elongate scar uphill only.
_biome_grammar.py,1099,function,apply_hot_spring_features,apply_hot_spring_features,GRADED,file_qualified,B+,B+|2026-04-19: confirmed B+ -> from prior session,C+,Yellowstone travertine terraces reference (Hell Let Loose / Horizon),"Perfect circular rings; real travertine is asymmetric (downhill-biased, irregular ridges).; R5: rebuilds elev_norm + mid_mask EVERY iteration of the for-loop (line 583-588) but the heightmap doesn't change between picks. Hoist out.",Skew rings downhill; perturb ring_r by noise.
_biome_grammar.py,1256,function,apply_reef_platform,apply_reef_platform,GRADED,file_qualified,A-,A-|2026-04-19: upgraded B -> three-zone back-reef/crest/fore-reef wave-exposure gradient vectorised Voronoi coral mounds Gaussian broadcast,B,Horizon Forbidden West coral reef authoring,Still overly uniform and weakly gated; warm/shallow-gradient bias and richer ecological constraints remain missing.,Add temperature / shoreline-gradient / tidal gating for higher-fidelity reef placement.
_biome_grammar.py,1440,function,apply_tafoni_weathering,apply_tafoni_weathering,GRADED,file_qualified,A-,A-|2026-04-20: upgraded B+ -> interconnected wall-thinning grooves between nearby cavity pairs; Gaussian groove profile along inter-cavity axis; shared wall erosion producing honeycomb connectivity matching Megascans tafoni rock scans,A-,Honeycomb weathering decals (Megascans),50 cavities over full heightmap is sparse — honeycomb weathering is by definition dense; cavity depth flat (no interior texture).,Scale cavity count with steep area; layer micro+macro cavities.
_biome_grammar.py,1707,function,apply_geological_folds,apply_geological_folds,GRADED,file_qualified,A-,A-|2026-04-20: upgraded B+ -> plunging hinge axis 3-15deg per Davis&Reynolds 1996 phase-shift along strike produces periclinal nose; Gaussian amplitude envelope along strike; Ramsay 1967 cumulative strain scaling via Laplacian curvature at hinge [0.3-1.0 clamp],B,Gaea Stratify + Tilt nodes combined,Adds folds linearly — real tectonic folds scale fold amplitude with cumulative strain and plunge along axis.,Add plunging-fold support (amplitude varies along strike).
_bridge_mesh.py,21,function,generate_terrain_bridge_mesh,generate_terrain_bridge_mesh,GRADED,file_qualified,A-,,A-,,"`__dz = ez - sz # retained for parity; unused` — dead variable kept for ""parity"". Should remove with comment.; AAA gap: Vertical span (Z difference) is ignored — bridge over a deep canyon has the same geometry as bridge across flat ground.",Use dz to extend pillars/columns to actual terrain height. ---
_mesh_bridge.py,220,function,_lsystem_tree_generator,_lsystem_tree_generator,GRADED,file_qualified,B+,,B+,,Pops `leaf_type` and `canopy_style` from kwargs but mutates the input dict — caller's dict is now missing those keys after the call. Should `kwargs = {**kwargs}; leaf_type = kwargs.pop(...)`.,
_mesh_bridge.py,528,function,get_material_for_category,get_material_for_category,GRADED,file_qualified,A,,A,,,
_mesh_bridge.py,545,function,_face_normal,_face_normal,GRADED,file_qualified,A-,A-|2026-04-23: verified mesh-bridge face-normal helper -> n-gon-safe winding evaluation returns normalized normals or None for invalid faces,A-,,,
_mesh_bridge.py,564,function,_dot3,_dot3,GRADED,file_qualified,B,B|2026-04-23: verified scalar dot-product helper -> direct 3-component multiply-accumulate with no hidden state,B,,,
_mesh_bridge.py,568,function,post_boolean_cleanup,post_boolean_cleanup,GRADED,file_qualified,B-,,B-,This is a hand-rolled bmesh.ops.remove_doubles + bmesh.ops.recalc_face_normals + bmesh.ops.fill_holes.,O(n²) doubles merge (line 592-606) is acceptable for boolean outputs (typically <1000 verts) but breaks for high-poly inputs. Should warn or use spatial hash for n>1000.; AAA gap: No bmesh.ops triangle_fan_fill — hole filling uses naive `tuple(reversed(loop))` which produces n-gon faces that may be…,Spatial hash for doubles; ear-clipping triangulation for holes.
_mesh_bridge.py,952,function,resolve_generator,resolve_generator,GRADED,file_qualified,A,,A,,,
_mesh_bridge.py,975,function,_compute_aabb,_compute_aabb,MISSING,none,,,,,,
_mesh_bridge.py,990,function,_cluster_vertices,_cluster_vertices,MISSING,none,,,,,,
_mesh_bridge.py,1047,function,_make_billboard_spec,_make_billboard_spec,MISSING,none,,,,,,
